Question,Answer,keywords,count
회수/배송/비용 안내 ,"• 교환 및 반품 접수 후 상품 회수가 가능하도록 재포장하여 회수지에 놓아두세요.
• 접수 후 평일 1~3일 내 배송직원 또는 택배기사 방문하여 상품을 회수합니다. 
• 교환 접수 후 교환 상품 배송까지는 최대 7일이 소요됩니다.
• 교환 접수 시 교환 상품의 배송지 정보와 회수지 정보를 각기 다른 주소지로 설정이 가능합니다.
• 반품 상품이 쿠팡(또는 판매자)에게 도착한 후 결제 승인이 취소됩니다.
• 상품 문제(오배송 물품 하자 등)로 인한 교환이 아닌 경우 고객 부담의 교환 비용이 발생합니다.
• 반품 접수 화면에서 반품비를 제외한 환불 예정금액 확인이 가능합니다. (와우 멤버십 회원은 무료반품 가능)
 로켓배송 상품 : 교환을 신청한 상품이 회수되기 전에 교환 받을 상품이 먼저 배송될 수 있습니다.
로켓직구 상품 : 교환 접수 직후 교환 받을 상품이 발송됩니다. (단순 변심 교환은 불가)
판매자 배송 상품 : 회수된 상품이 판매자에게 도착한 후 교환 받을 상품이 발송됩니다.
선물 받은 상품 : 교환/반품 신청은 쿠팡 고객센터로 문의 바랍니다.",SUB,0
교환/반품 가능 기간 ,"구매자 단순 변심의 경우
• 로켓배송 상품 : 배송 완료 후 30일 이내 반품만 가능 (교환은 패션 카테고리만 가능)
• 로켓프레시 상품 : 단순 변심으로 인한 교환/반품 모두 불가
• 로켓직구 상품 : 배송 완료 후 7일 이내 반품만 가능 (교환은 불가)
• 로켓모바일 상품 : 주문일 포함 14일 이내
• 판매자 배송 상품 : 배송 완료 후 7일 이내
 표시 광고 상이 물품 하자(초기불량)의 경우
물품을 수령한 날부터 3개월 이내 또는 그 사실을 알거나 알 수 있었던 날부터 30일 이내
 파손/불량/오배송 등(판매자 귀책)의 경우
물품을 수령한 날부터 3개월 이내 또는 그 사실을 알거나 알 수 있었던 날부터 30일 이내
 단 상품에 따라 교환/반품 조건이 다르므로 정확한 내용은 구매한 상품의 상세페이지 내 배송/교환/반품/판매자 안내를 참고하시기 바랍니다.",SUB,0
판매자 정보 확인하기 ,"로켓배송 로켓프레시 로켓모바일 로켓직구 상품은 쿠팡 고객센터로 문의 부탁드리며 판매자 배송 상품은 아래의 경로를 통해 판매자에게 직접 문의하실 수 있습니다. (마이쿠팡 주문목록에서 판매자 문의 메뉴는 판매자 배송 상품인 경우에만 노출됩니다.)
 판매자에게 문의하기
• 마이쿠팡 → 주문목록 → 상품선택 → [판매자 문의] 선택
• 상품 상세페이지 내 배송/교환/반품/판매자 안내에서도 판매자 연락처 확인 가능",SUB,0
교환/반품 제한사항 ,"공통사항
• 주문제작 상품의 상품 제작이 이미 진행된 경우
• 고객의 사용 시간 경과 일부 소비에 의하여 상품의 가치가 현저히 감소한 경우
• 세트 상품 일부 사용 구성품을 분실하였거나 취급 부주의로 인한 파손/고장/오염으로 재판매 불가한 경우
• 모니터 해상도의 차이로 인해 색상이나 이미지가 실제와 다르다고 고객의 단순 변심으로 무료 교환/반품을 요청하는 경우
• 제조사의 사정(신모델 출시 부품가격 변동 등)에 의해 무료 교환/반품을 요청하는 경우
• 해외배송 상품이 세관에 걸려있을 경우 (상품 수령 후 가능)
• 해외배송 상품의 현지 사정이나 판매에 대한 가격 정책 등에 따라 제품의 가격 변동 사유로 인한 경우
 의류/잡화/수입명품/계절상품/식품/화장품
• 상품의 택(TAG) 및 라벨의 멸실 또는 훼손 상품의 사용 또는 훼손 구성품 누락으로 상품의 가치가 현저히 감소된 경우 
• 신선/냉장/냉동 상품의 단순 변심의 경우
• 뷰티 상품 이용 시 트러블(알레르기 붉은 반점 가려움 따가움 등)이 발생한 경우 진료 확인서 및 소견서 등을 증빙하면 환불이 가능(단 제반 비용 고객 부담)
 전자/가전/설치상품
• 설치 또는 사용하여 재판매가 어려운 경우
• 원 상품의 박스(포장재)가 사용할 수 없는 정도로 파손이 된 경우
• 개인 계정(Apple ID 등)으로 잠금을 해 두어 초기화가 불가능한 경우
• 상품의 시리얼 넘버 유출로 내장된 소프트웨어의 가치가 감소한 경우(내비게이션 OS 시리얼이 적힌 PMP)
• 홀로그램 등을 분리 분실 훼손하여 상품의 가치가 현저히 감소하여 재판매가 불가한 경우(노트북 데스크톱 PC 등)
 CD/DVD/게임/도서
• 복제가 가능한 상품의 포장 등을 훼손한 경우
 자동차용품
• 상품을 개봉하여 장착한 이후 단순 변심인 경우",SUB,0
구매자 단순 변심의 경우 ,"로켓배송 상품
• 와우 멤버십 회원 : 무료
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 19800원 미만인 경우 반품비 5000원 차감 후 환불
ㆍ총 주문금액 - 반품 상품금액 = 19800원 이상인 경우 반품비 2500원 차감 후 환불
 로켓직구 상품
• 와우 멤버십 회원 : 5000원 (미국 직구 2600원)
• 와우 멤버십 비회원
ㆍ총 주문금액 - 반품 상품금액 = 29800원 미만인 경우 반품비 5000원 차감 후 환불 (미국 직구 2600원)
ㆍ총 주문금액 - 반품 상품금액 = 29800원 이상인 경우 반품비 2500원 차감 후 환불 (미국 직구 2500원)
• 단 TV 및 일부 전자기기와 같은 특정 제품(다이슨 로봇청소기 등)은 2600원/5000원 보다 높은 교환/반품비가 적용될 수 있음
 판매자 배송 상품
• 배송 지시 이후 최초 배송비를 포함한 왕복 배송비 차감 후 환불
• 반품비는 판매자 및 상품에 따라 상이하며 상황에 따라 별도 입금이 요청될 수 있음
• 도서산간 지역 설치 상품 업체에서 직접 배송하는 상품의 경우 반품비가 추가될 수 있음",SUB,0
반품 비용 확인 방법 ,"반품 접수 이전 반품 비용 확인 방법
• 마이쿠팡에서 반품 신청 시 마지막 단계에서 반품 비용 확인 가능
• 상품 상세페이지 → 배송/교환/반품/판매자 안내에서 확인 가능
 반품 접수 이후 반품 비용 확인 방법
마이쿠팡 → 취소∙반품∙교환목록 → 상품선택 → [반품상세] ",SUB,0
반품 재포장 방법 ,"쿠팡 배송 상품
• 반품하는 로켓배송 상품은 미리 재포장해 주시고 포장 겉면에 [쿠팡 반품]이라고 적어주세요.
• 쿠팡 상자가 아닌 다른 상자로 포장해도 괜찮지만 원활한 회수를 위해 포장 겉면에 [쿠팡 반품]이라고 반드시 적어주세요.
• 반품하는 로켓배송 상품이 여러 개인 경우 하나의 상자에 같이 포장해 주셔도 상품 회수가 가능합니다. (단 판매자 배송 상품과 로켓직구 상품은 구분하여 따로 포장해 주셔야 합니다.)
• DIY(조립) 상품의 경우 조립을 해체한 후 재포장 해주세요. 
 판매자 배송 상품 (일반 택배사에서 배송하는 일반 판매자 상품)
• 반품하는 상품은 미리 재포장해 주시고 회수지에 놓아두세요.
• 최초에 수령하신 상자가 훼손된 경우에는 다른 상자에 포장해 주셔도 됩니다.
• 여러 판매자의 상품을 반품하는 경우에는 각 택배기사가 알아볼 수 있도록 잘 구분해 주세요.
 유의사항
• 일반 택배사(예 : 우체국택배 한진택배 등)에서 배송하는 판매자 배송 상품은 반품 시 [판매자 반품]이라고 적어주세요. 그렇지 않고 판매자 배송 상품에도 [쿠팡 반품]이라고 적으면 쿠팡으로 잘못 회수될 수 있습니다. 판매자 배송 상품은 쿠팡이 아닌 판매자에게 회수되어야 하는 점을 유의해 주세요.
• 판매자 배송 상품 구분 방법 : 판매자 배송 상품은 일반 택배사의 운송장이 붙어있고 주문목록 상품 리스트에 로켓 배지가 없습니다. ",SUB,0
반품 접수 후 회수 일정 안내 ,"로켓배송 상품
• 고객센터를 통해 접수한 경우 : 접수일로부터 평일(영업일) 기준 1일 이내 배송직원 방문 예정 (도서산간 지역은 접수일 +3~4일 더 소요)
• 마이쿠팡을 통해 직접 접수한 경우 : 선택한 회수 예정일에 배송직원 방문 예정 
 로켓직구 상품
반품 접수일로부터 평일(영업일) 기준 1~3일 이내 택배기사 방문 예정
 판매자 배송 상품 
• 일반택배 : 반품 접수일로부터 평일(영업일) 기준 3일 이내 택배기사 방문 예정
• 화물택배 : 반품 접수일로부터 평일(영업일) 기준 6일 이내 택배기사 방문 예정
• 업체직송 : 판매자 별도 연락 예정",SUB,0
판매자 배송 상품의 반품 상품을 직접 발송할 경우 ,"• 원활한 반품 진행을 위해 판매자에게 연락하시어 계약된 택배사를 통해 발송해 주시기 바랍니다.
• 판매자와 계약하지 않은 다른 택배사를 통해 상품을 반송할 경우 추가 배송비(추가 반품 비용)가 부과될 수 있습니다.
• 판매자 배송 상품의 배송/회수 일정 확인은 판매자 또는 택배사 고객센터로 문의해 주시기 바랍니다. ",SUB,0
단순 변심 교환의 경우 ,"로켓배송 상품
• 패션 카테고리 : 무료 교환
• 패션 외 카테고리 : 단순 변심일 경우 교환 불가 반품 후 재구매 
 로켓직구 상품
단순 변심일 경우 교환 불가 반품 후 재구매
 판매자 배송 상품
단순 변심일 경우 교환 불가 반품 후 재구매",SUB,0
