,Unnamed: 0.1,Unnamed: 0,Question,Answer,keywords,count
0,0,0,Q[배송일정] 주문한 상품은 언제 배송되나요?,"배송 예정일은 마이쿠팡을 통해 직접 확인할 수 있습니다.
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회
 배송조회 후 상단 ‘자세히 보기’를 클릭하면 시간대 별 배송현황을 확인할 수 있습니다. 배송 메시지는 모바일앱 홈 오른쪽 상단 알림센터에서도 확인이 가능합니다.
 배송 예정일은 판매자 및 배송지에 따라 차이가 있으며 도서산간 지역 등은 3~5일 더 소요될 수 있습니다. 악천후 천재지변 물량 수급 변동 명절 연휴 등 예외적인 사유가 발생하면 다소 지연될 수 있는 점 양해 부탁드립니다.",DELIVERY,0
1,1,1,Q[배송] 배송 상태가 멈춰 있어요.,"악천후 천재지변 주문량 증가 출고작업 지연 명절 연휴 등 예외적인 사유 발생 시 배송 예정일보다 배송이 다소 지연될 수 있습니다. 상품 유형별 배송지연 사유 확인 및 처리 방법에 대해서는 다음을 참고해 주시기 바랍니다. 
 로켓배송 상품 (클릭)
 로켓직구 상품 (클릭)
 판매자 배송 상품 (클릭)",DELIVERY,0
2,2,2,Q[배송일정] 배송 중인 상품의 위치를 알고 싶어요.,"배송현황은 마이쿠팡에서 직접 확인이 가능합니다. 
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회
 배송조회 후 상단 ‘자세히 보기’를 클릭하면 시간대 별 배송현황을 확인할 수 있습니다. 배송 메시지는 모바일앱 홈 오른쪽 상단 알림센터에서도 확인이 가능합니다.
 판매자 배송 상품 참고사항 (클릭)",DELIVERY,0
3,3,3,Q[로켓배송] 로켓배송 상품을 19800원 미만으로 구매하고 싶어요.,"로켓배송 상품은 최소 주문금액 19800원 이상이 충족돼야만 구매가 가능합니다. 단 와우 멤버십 회원은 최소 주문금액 제한 없이 무조건 무료 배송으로 상품을 구매할 수 있습니다.
 로켓배송 상품은 쿠팡에서 직접 판매하며 쿠팡의 자체 배송 서비스를 이용합니다. 19800원 미만은 배송비를 지불할 의사가 있으셔도 구매가 불가능한 점 양해 부탁드립니다.",DELIVERY,0
4,4,4,Q[배송완료미수령] 상품을 받지 못했는데 배송완료로 확인됩니다.,"배송상태가 [배송완료]로 확인되나 상품을 받지 못했다면 다음을 먼저 확인해 주시기 바랍니다.
 로켓배송 상품인 경우
• 배송완료 문자 또는 대리 수령 가능 장소(경비실 이웃 주변 편의점 등) 확인
• 마이쿠팡 → 주문목록 → 상품선택 → [배송조회] 클릭 후 배송 사진 확인
 판매자 배송 상품인 경우
• 배송완료 문자 또는 대리 수령 가능 장소(경비실 이웃 주변 편의점 등) 확인
 위 안내사항을 확인한 후에도 배송된 상품을 찾을 수 없다면 다음의 방법으로 직접 처리가 가능합니다.
 로켓배송 상품을 받지 못한 경우 (클릭)
 판매자 배송 상품을 받지 못한 경우 (클릭)
 선물 받은 상품을 받지 못한 경우 (클릭)",DELIVERY,0
5,5,5,Q[상품파손] 배송 받은 상품이 파손되었어요.,"상품이 파손되어 배송된 경우 정해진 기간 내에 교환 및 반품이 가능합니다. 마이쿠팡을 통해 교환 및 반품을 직접 신청해 주시거나 신청이 불가한 경우 고객센터로 연락 주시기 바랍니다. 
 교환/반품하기
마이쿠팡 → 주문목록 → 상품선택 → [교환 반품신청] 클릭
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 교환/반품 안내사항 (클릭)
 파손에 의한 교환/반품 가능 기간 (클릭)",DELIVERY,0
6,6,6,Q[해외배송] 개인통관고유부호 발급 및 입력 방법을 알고 싶어요.,"개인통관고유부호란 해외배송 상품을 통관할 때 주민등록번호 대신 사용하는 13자리 부호(P+12개의 숫자)입니다. 해외배송 상품을 구매하려면 개인통관고유부호 입력은 필수 사항입니다. 개인통관고유부호는 상품을 ‘받는 사람(수취인)’의 정보로 입력하셔야 합니다. 구매한 사람과 받는 사람이 다른 경우엔 입력에 유의를 부탁드립니다.
 개인통관고유부호 발급 경로
• 관세청 개인통관고유부호 발급사이트(클릭) 
• 본인 인증을 거친 후 성함 핸드폰 번호 등 간단한 정보를 입력하면 발급이 가능합니다.
 개인통관고유부호 입력 시 유의사항
• 관세청에 등록된 이름과 연락처가 쿠팡에서 주문할 때 입력한 ‘받는사람(수취인)’의 정보와 반드시 일치해야 합니다. 
• 쿠팡에 입력한 ‘받는사람(수취인)’의 이름 외 다른 정보가 포함되면 안 됩니다. (예) 김쿠팡(집) 김쿠팡(회사) 등",DELIVERY,0
7,7,7,Q[상품누락] 상품을 구매했는데 일부만 배송되었어요.,"상품이 누락되었다면 교환을 통해 상품을 다시 받거나 반품 후 환불을 받을 수 있습니다. 구성품의 일부가 누락된 경우에는 부분 배송이 불가하므로 상품 전체를 교환/반품으로 진행해 주시기 바랍니다. 교환 및 반품은 아래의 경로를 통해 직접 신청이 가능합니다.
 교환/반품 신청하기
• 마이쿠팡 → 주문목록 → 상품선택 → [교환 반품 신청] 선택
• 이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.",DELIVERY,0
8,8,8,Q[로켓배송] 새벽배송 상품이 왜 공동현관문 앞에 배송되었나요?,"새벽배송 상품은 주문 시 입력하신 [새벽배송 수령방법] 위치로 배송됩니다. 고객님께서 수령방법을 문 앞으로 요청했으나 새벽에 문 앞까지 갈 수 없는 경우에는 부득이하게 1층 공동현관문 앞(또는 그 외 장소)으로 배송해 드릴 수 있습니다. [새벽배송 수령방법]에 공동현관 출입번호를 꼭 입력해 주시기 바랍니다.
 공동현관 출입번호 입력하기
마이쿠팡 → 내정보관리 → 주소록 관리 → [수정] 클릭
이후 원하는 주소지의 새벽배송 공동현관 출입번호를 입력합니다.",DELIVERY,0
9,9,9,Q[프레시백] 프레시백은 언제까지 어떻게 반납해야 하나요?,"프레시백은 배송 받으신 후 60일 이내에 반납이 필요하며 다음 주문 시 문 앞에 두면 배송과 함께 수거합니다. 또한 로켓프레시 뿐 아니라 로켓와우 로켓배송 주문 시에도 관계없이 반납이 가능하며 미반납 시 등록된 와우 멤버십 결제수단으로 지연 사용료가 부과됩니다. 지연 사용료는 프레시백 1개당 8000원이며 프레시백 반납 시 자동으로 환불됩니다. 다음 주문까지 기다리기 어렵다면 아래의 경로에서 수거요청 버튼을 눌러주세요. 배송직원이 방문하여 수거합니다.
 프레시백 수거 요청하기
마이쿠팡 → 로켓프레시 프레시백 → [수거요청] 클릭",DELIVERY,0
